message,label
daddy shu shu is looking wan me tell him ure not in singapore or wat,ham
ill be at yours in about mins but look out for me,ham
thanks chikku gud nyt,ham
derp which is worse dude who always wants to party or dude who files complaint about the three drug abusers he lives with,ham
lol its ok didnt remember til last nite,ham
nice waitshould you be texting right now im not gon na pay your ticket ya know,ham
so pay first lar then when is da stock comin,ham
ok give me minutes think see her btw youre my alibi you were cutting my hair the whole time,ham
500 new mobiles from 2004 must go txt nokia to no 89545 collect yours todayfrom only www4tcbiz 2optout 08718726270150gbpmtmsg18,spam
for ur chance to win 250 cash every wk txt action to 80608 tscs wwwmovietriviatv custcare 08712405022 1x150pwk,spam
jus came back fr lunch wif my sis only leh,ham
its still not working and this time also tried adding zeros that was the savings the checking is ltgt,ham
waiting for your call,ham
how are you just checking up on you,ham
in xam hall boy asked girl tell me the starting term for dis answer can den manage on my own after lot of hesitation lookin around silently she said the intha ponnungale ipaditan,ham
am thinking of going down to reg for pract lessons flung my advance haha wat time going,ham
thank you and by the way just lost,ham
he didnt see his shadow we get an early spring yay,ham
im also came to room,ham
kit strip you have been billed 150p netcollex ltd po box 1013 ig11 oja,spam
oh is it send me the address,ham
pass dis to all ur contacts see wat get redim in luv wid blueu put smile on my face purpleu realy hot pinku so swt orangei thnk lyk greeni realy wana go out wid yelowi wnt bck blackim jealous of browni miss you nw plz giv me one color,ham
think its far more than that but find out check google maps for place from your dorm,ham
so wats ur opinion abt him and how abt is character,ham
im sorry bout last nite it wasnt ur fault it was me spouse it was pmt or sumthin 4give me think shldxxxx,ham
true it is passable and if you get high score and apply for phd you get 5years of salary so it makes life easier,ham
oh icic lor den meet other day,ham
hope ur head doesnt hurt much am ploughing my way through pile of ironing staying in with chinky tonight come round if you like,ham
thanks honey but still havent heard anything will leave it bit longer so not crowd him and will try later great advice thanks hope cardiff is still there,ham
is your hamster dead hey so tmr meet you at 1pm orchard mrt,ham
meant as an apology from me for texting you to get me drugs at ltgt at night,ham
how come got nothing to do,ham
are awake is there snow there,ham
still otside leu come 2morrow maga,ham
dad says hurry the hell up,ham
where wuld be without my baby the thought alone mite break me and dont wan na go crazy but everyboy needs his lady xxxxxxxx,ham
mom wants to know where you at,ham
cant take any major roles in community outreach you rock mel,ham
we tried to contact you re your reply to our offer of 750 mins 150 textand new video phone call 08002988890 now or reply for free delivery tomorrow,spam
ill head out in few mins see you there,ham
you best watch what you say cause get drunk as motherfucker,ham
can meet at as where depends on where wan in lor,ham
oooh bed ridden ey what are you thinking of,ham
rose for redred for bloodblood for heartheart for but for me send tis to all ur friends including me if like me if get back 1u poor in relation 2u need some to support 3u frnd many 4some1 luvs some1 is praying god to marry try it,ham
do noe how send files between computers,ham
cant make it tonight,ham
sending you greetings of joy and happiness do have gr8 evening,ham
someone has conacted our dating service and entered your phone because they fancy youto find out who it is call from landline 09111030116 pobox12n146tf15,spam
know you are thinkin malaria but relax children cant handle malaria she would have been worse and its gastroenteritis if she takes enough to replace her loss her temp will reduce and if you give her malaria meds now she will just vomit its self limiting illness she has which means in few days it will completely stop,ham
wnevr wana fal in luv vth my books my bed fals in luv vth me yen madodu nav pretsorginta nammanna pretsovru important alwa gud eveb,ham
no nokia tone ur mob every week just txt nok to 87021 1st tone free so get txtin now and tell ur friends 150ptone 16 reply hl 4info,spam
am at the gas station go there,ham
hi darlin im on helens fone im gon na up the princes nite please come up tb love kate,ham
im on gloucesterroad what are uup to later,ham
movie is juz last minute decision mah juz watch lar but tot not interested,ham
no its truekdo knw dis no ltgt,ham
waiting my tv show start lor leh still busy doing ur report,ham
sorry my battery died can come by but im only getting gram for now wheres your place,ham
did fix the teethif not do it asapok take care,ham
got ta collect da car at lei,ham
dhoni have luck to win some big titleso we will win,ham
hes just gon na worry for nothing and he wont give you money its no use,ham
fffff can you text kadeem or are you too far gone,ham
sif we have one good partnership going we will take lead,ham
doc prescribed me morphine cause the other pain meds arent enough waiting for my mom to bring it that med should kick in fast so im gon na try to be on later,ham
so how are you really what are you up to hows the masters and so on,ham
no she didnt will search online and let you know,ham
sorry dai was thought of calling you lot of timeslil busyi will call you at noon,ham
no management puzzeles,ham
came to look at the flat seems ok in his 50s is away alot wiv work got woman coming at 630 too,ham
do we have any spare power supplies,ham
,ham
ah well that confuses things doesnt it,ham
sorry guess whenever can get hold of my connections maybe an hour or two ill text you,ham
hey so this sat are we going for the intro pilates only or the kickboxing too,ham
macha dont feel upseti can assume your mindsetbelieve me one evening with me and have some wonderful plans for both of uslet life begin againcall me anytime,ham
ok wont call or disturb any one know all are avoiding me am burden for all,ham
ou are guaranteed the latest nokia phone 40gb ipod mp3 player or 500 prize txt word collect to no 83355 ibhltd ldnw15h 150pmtmsgrcvd18,spam
do whatever you want you know what the rules are we had talk earlier this week about what had to start happening you showing responsibility yet every week its can bend the rule this way what about that way do whatever im tired of having thia same argument with you every week and ltgt movie doesnt inlude the previews youre still getting in after,ham
shall book chez jules for half eight if thats ok with you,ham
kkyesterday was in cbe,ham
wow didnt think it was that common take it all back ur not freak unless chop it off,ham
don knowhe is watching film in computer,ham
ok no prob take ur time,ham
thk 530 lor but dunno can get tickets not wat doing now,ham
am up to my eyes in philosophy,ham
not yet just id like to keep in touch and it will be the easiest way to do that from barcelona by the way how ru and how is the house,ham
lol would but my mom would have fit and tell the whole family how crazy and terrible am,ham
so hows the weather over there,ham
ok then we meeting later,ham
ha wouldnt say that just didnt read anything into way seemed dont like be judgementali save that for fridays in the pub,ham
you dont know you jabo me abi,ham
wat uniform in where get,ham
have good weekend,ham
think have the wrong number,ham
its just the effect of irritation just ignore it,ham
this message is brought to you by gmw ltd and is not connected to the,spam
shit babe thasa bit messed upyeh she shudvetold did urgran knowneway illspeak u2moro wen im not asleep,ham
was actually about to send you reminder today have wonderful weekend,ham
is xy going lunch,ham
